timestep,esc_msg_time_ms,esc_receive_time_ms,force_msg_time_ms,force_receive_time_ms,force_x,force_y,force_z,force_norm,torque_x,torque_y,torque_z,power_current,rotor0_target_thrust,rotor0_rpm,rotor0_esc_current,rotor0_esc_voltage,rotor0_temperature,rotor0_crc_error
16.700086,1782129042725.011719,1782129042720.330078,1782129042709.845703,1782129042710.339111,-0.015000,-0.090000,0.030000,0.096047,0.003200,-0.003200,-0.000800,1.300000,4.182261,6000,120.850000,24.770000,38,36
16.710022,1782129042737.011719,1782129042730.407227,1782129042729.847656,1782129042730.415283,0.045000,0.045000,0.000000,0.063640,-0.004400,0.004400,-0.000800,0.600000,4.151734,5885,120.650000,24.810000,39,0
16.720020,1782129042750.011475,1782129042740.361084,1782129042739.856934,1782129042740.371582,0.030000,-0.045000,0.000000,0.054083,0.002800,0.004800,-0.000400,0.600000,4.122319,5885,120.650000,24.810000,39,10
16.730020,1782129042761.011719,1782129042750.353271,1782129042749.970459,1782129042750.363525,0.045000,-0.075000,0.000000,0.087464,0.006400,0.005200,-0.002000,0.600000,4.094242,5828,120.610000,24.800000,38,92
16.740018,1782129042770.011475,1782129042760.377197,1782129042759.964600,1782129042760.389648,-0.045000,-0.090000,0.000000,0.100623,0.008800,-0.000400,0.003600,0.600000,4.067545,5828,120.610000,24.800000,38,78
16.750122,1782129042781.011719,1782129042770.331543,1782129042769.945068,1782129042770.341064,-0.090000,-0.135000,0.000000,0.162250,0.015200,-0.007200,-0.005200,0.600000,4.041994,5785,120.930000,24.790000,38,34
16.760121,1782129042781.011719,1782129042770.331543,1782129042779.952637,1782129042780.434814,-0.015000,-0.060000,0.030000,0.068739,0.006000,-0.004000,0.001200,0.600000,4.018150,5785,120.930000,24.790000,38,34
16.770086,1782129042793.011719,1782129042790.434814,1782129042789.992188,1782129042790.444092,0.075000,0.105000,-0.030000,0.132476,-0.008000,0.001200,-0.004400,0.600000,3.995845,5785,120.930000,24.790000,38,6
16.780112,1782129042801.011719,1782129042800.416260,1782129042799.947998,1782129042800.427490,0.030000,0.165000,-0.030000,0.170367,-0.016400,0.002000,0.004000,0.600000,3.974894,5685,120.650000,24.670000,38,146
16.790020,1782129042813.011719,1782129042810.455078,1782129042799.947998,1782129042800.427490,0.030000,0.165000,-0.030000,0.170367,-0.016400,0.002000,0.004000,0.600000,3.955685,5685,120.650000,24.670000,38,109
16.800024,1782129042825.011719,1782129042820.406982,1782129042819.973877,1782129042820.416992,0.030000,-0.090000,0.000000,0.094868,0.009200,0.003200,-0.002800,0.600000,3.937814,5642,120.570000,24.760000,38,188
16.810017,1782129042837.011719,1782129042830.369385,1782129042819.973877,1782129042820.416992,0.030000,-0.090000,0.000000,0.094868,0.009200,0.003200,-0.002800,0.600000,3.921517,5642,120.570000,24.760000,38,197
16.820013,1782129042845.011719,1782129042840.337891,1782129042839.955322,1782129042840.331543,0.030000,0.105000,0.030000,0.113248,-0.010400,0.001200,-0.000800,0.600000,3.906782,5642,120.570000,24.760000,38,136
16.830011,1782129042857.011719,1782129042850.321533,1782129042849.957031,1782129042850.328125,0.030000,0.135000,0.030000,0.141510,-0.015600,0.002000,-0.008800,0.600000,3.893627,5642,120.570000,24.760000,38,11
16.840022,1782129042870.011475,1782129042860.357178,1782129042859.959717,1782129042860.366455,-0.030000,0.045000,0.060000,0.080777,-0.003200,-0.002400,-0.004400,0.600000,3.882057,5642,120.570000,24.760000,38,175
16.850019,1782129042877.011719,1782129042870.362793,1782129042869.954834,1782129042870.372314,-0.030000,-0.150000,0.030000,0.155885,0.010400,-0.002800,-0.006800,0.600000,3.872111,5828,120.890000,24.780000,39,0
