robot,beetle1
frame_id,cog
child_frame_id,cog
time,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,a1,a2,a3,a4,control effort,fc1,fc2,fc3,fc4,ac1,ac2,ac3,ac4
2.99406247,-0.74714536,1.22543366,0.85623666,-2.99999992,-0.26253995,0.30787123,0.40302112,0.52891271,-0.35626647,0.65642937,2.12260731,1.04781866,0.55923476,1.31863648,1.50900334,-1.51197880,-1.39786422,1686.84137190,11.58133951,9.42035056,13.20510074,11.20004177,1.12274668,1.55475132,-1.51972088,-0.96861541
3.22101117,-1.40213800,1.14293705,0.95597925,-2.66590971,-0.61119639,0.59737213,0.19808852,0.55824257,-0.27799691,0.75620360,1.27237478,-0.76011711,1.22554372,1.19750475,1.04356119,-1.19663323,-0.87446869,1811.35601451,13.30618036,10.82357390,12.79591308,10.88142110,1.21651684,0.77152942,-1.02237660,-0.77631936
3.44795987,-1.90255660,0.90000002,1.10000000,-1.71832441,-1.55506256,0.55685482,0.05537900,0.56848414,-0.28344404,0.77033657,0.41613465,-0.15858082,0.94556101,1.01380623,0.81259799,-1.13560526,-0.74901338,1916.36253379,10.06799044,8.61769518,9.73600014,9.36067038,0.90602862,0.80499206,-1.17784250,-0.72343909
3.68054974,-2.16989647,0.41975504,1.18460330,-0.47873621,-2.52912685,0.16463513,-0.13747213,0.56269016,-0.32030397,0.74959093,0.99785465,-0.96052199,2.38193232,1.08307872,0.13249576,-1.31035256,-0.35010893,2005.76170669,10.81742638,8.76420494,11.09647292,9.72538091,1.16521655,-0.22191139,-1.38433004,-0.15119090
3.91313960,-2.10797405,-0.21109761,1.16223845,0.89123005,-2.71986963,-0.37039157,-0.53747931,0.47308670,-0.43532408,0.54570864,-0.11727514,-1.62602735,5.02743414,1.17131806,-1.25900720,-1.09393623,0.97754929,2084.12002668,7.10633788,8.36174205,8.87902357,8.36037617,1.18288249,-1.84041997,-0.94875790,1.59133542
4.14572946,-1.79156741,-0.82901259,1.00847023,1.90830784,-2.40769440,-0.97064896,-0.77499563,0.28937051,-0.55840324,-0.06190556,-1.30644032,-1.99607454,6.34064697,-0.99877971,-1.08076722,0.56995000,1.27718827,2153.61924422,8.27641635,10.48881499,9.15438413,8.25448341,-2.14483427,-0.74044993,1.38333438,1.17443426
4.37831932,-1.25542686,-1.27140295,0.80000000,2.78026357,-1.15506412,-0.57320826,-0.45083926,-0.00455606,-0.60340117,-0.65774633,-1.05481262,2.15675045,5.11164455,-1.11909318,0.71041230,1.12975416,-0.34649796,2313.04413760,17.27214739,16.87012898,19.75103747,12.27829570,-0.69629422,1.50797152,1.07915465,-1.15673615
4.61090918,-0.58243852,-1.29999991,0.80932755,2.90265805,0.84430631,0.67106739,-0.14656726,-0.06885136,-0.61772079,-0.76954438,0.62632027,0.69508661,1.13546074,-0.98503742,1.11211616,0.88722021,-1.09109610,2570.10414043,15.28089185,17.78939850,15.58621898,17.62504154,-1.09386195,0.98509110,0.78114362,-1.13900520
4.84349905,0.09999998,-0.91147040,1.05408173,2.99999996,2.30377543,1.19284696,0.13959602,-0.05393920,-0.73851684,-0.65741645,2.71283021,2.55832638,2.22029246,-1.26833785,1.39728963,1.27394015,-1.45719808,2741.99683966,10.25426659,11.33953121,8.29384538,11.21303658,-1.37115711,1.60112264,1.52228687,-1.62939421
4.95654367,0.44354603,-0.62218279,1.17458707,2.99999995,2.84902443,0.84231951,0.34503485,-0.02534631,-0.79907863,-0.49171319,3.46402533,2.88312117,2.51508647,-0.26057690,1.70649212,0.12034243,-1.64103338,2779.86025944,8.01562470,8.20336865,6.95643112,8.36327173,1.06814253,1.96155130,-1.48537292,-1.75960449
