robot,beetle1
frame_id,world
child_frame_id,cog
time,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,a1,a2,a3,a4,control effort,fc1,fc2,fc3,fc4,ac1,ac2,ac3,ac4
4.25144296,1.05896442,2.29500620,1.28707540,-3.62158762,0.95644837,1.33336520,0.79411452,0.46442762,-0.01902909,-0.39156992,-0.52246785,1.31584066,4.46389849,-0.93706273,0.17169218,1.02510464,-0.37731380,1747.41136333,8.34245005,8.81320139,8.78410031,8.13056739,-1.04610039,0.48101411,1.26797971,-0.77681123
4.52413014,0.00669358,2.43213742,1.61213238,-4.04815103,-0.00203751,1.01728903,0.82271785,0.49734390,-0.15188511,0.22959814,1.59431915,1.25328469,4.02362254,-0.18113024,1.13782460,0.49876317,-1.04686911,1823.92307848,8.06276267,8.48569008,7.65251264,8.69786106,0.18619457,1.44023286,0.18083954,-1.18751660
4.79681731,-1.06729106,2.27446328,1.82226159,-3.61883837,-1.09778291,0.53875573,0.57024345,0.53524026,-0.15568250,0.60340968,1.50430112,0.61723971,1.57801493,0.74596717,1.13248562,-0.66993101,-0.95841321,1902.59751777,9.22079327,9.12643725,7.27846068,9.23237638,1.00990753,1.01758189,-1.05668716,-0.86781359
5.06950448,-1.90000001,1.90000006,1.90000000,-2.44272025,-1.60398301,-0.01770360,0.40600494,0.56722590,-0.06751982,0.71334132,0.97133220,0.43562619,0.21038645,0.73191547,1.00824819,-0.74443264,-0.77326124,1977.82255237,7.34397919,8.40353488,7.95619979,7.72089102,0.62756876,0.99733299,-0.63263197,-0.72696857
5.31792519,-2.35300545,1.45779485,1.82364978,-1.20878192,-1.90884162,-0.56027987,0.40675066,0.55304927,0.03742488,0.72614722,0.34972310,0.44720317,-1.25632072,0.64053784,1.12936793,-0.46376797,-1.01750167,2044.60669828,8.58798467,9.08282451,7.46248911,8.91570773,0.63823420,1.19249023,-0.37268338,-1.15456348
5.56634591,-2.49994537,0.97243532,1.63830353,0.02447704,-2.02610136,-0.88280980,0.54916489,0.47733122,0.22151946,0.64923183,-0.04649742,0.88428905,-2.38154517,-0.27846631,1.21511622,0.32588151,-1.10482570,2125.12125444,7.91388869,9.28228400,9.76284373,10.75816552,-0.72314553,1.23128470,0.67210155,-1.09199475
5.81476662,-2.37207913,0.46859642,1.45233668,0.93237901,-1.87412653,-0.43569817,0.68572426,0.32458496,0.37963162,0.52943996,-0.14156361,0.65716677,-1.34347566,-1.09842247,1.11498078,0.87131223,-1.05074131,2258.09597226,13.76783796,12.82662630,12.50368879,14.97839153,-1.31700230,1.05991871,0.99641380,-1.02968183
6.06318733,-2.09999996,0.09999994,1.40000004,1.08858957,-1.09018882,-0.22008686,0.67143001,0.24124634,0.43741829,0.54740038,-0.32824811,0.54032137,0.34858193,-1.31218102,1.38569632,1.26159814,-1.15962050,2383.82197646,8.91222708,8.72673739,8.41475118,9.04493182,-1.32784150,1.53912539,1.40048174,-1.22089106
6.31946846,-1.87812450,-0.09144500,1.29296367,0.64562837,-0.39356732,-0.55011266,0.70302547,0.21822516,0.40083059,0.54540609,-0.53690666,-0.59118782,-1.23892929,-1.25295601,1.36460737,1.10282261,-1.10134372,2475.70865632,9.49101111,10.89349101,11.38969420,8.66469696,-1.21917631,1.29456368,0.97424098,-1.05010970
6.57574958,-1.72638747,-0.09122661,1.14648882,0.64893400,0.28909954,-0.55835013,0.84134709,0.06294968,0.41675923,0.33835508,0.37081619,0.59741130,-2.51114572,-1.33878007,-0.28213733,1.36400007,0.17273592,2576.60330451,10.82333487,9.09644068,10.85735670,7.62722904,-1.39208079,-1.02303409,1.53632070,0.74712560
6.83203071,-1.55804110,-0.02560659,1.02347062,0.58058729,0.16510231,-0.30741490,0.92502052,0.05770587,0.36355144,0.09400758,0.22972032,-2.82510309,-1.26154765,-1.09521835,-1.17171313,1.17257018,0.78446532,2695.01543867,12.42667076,10.20942636,13.09772100,11.18432280,-0.96065652,-1.29607681,1.01563159,0.84451930
7.08831184,-1.49000004,-0.00999996,0.99000000,0.00999990,0.00999983,-0.00467880,0.99987940,-0.00856750,-0.00885589,0.00945274,0.00403545,-0.00999939,0.00987602,0.00326108,-0.00218510,-0.00477545,0.00999916,2798.24710058,4.58314584,12.97517858,10.00260792,3.04212901,0.46301794,0.59232228,-0.49255144,-0.37493574
